Date,Open,High,Low,Close,Adj Close,Volume,Days
2021-01-27,101.480003,101.779999,96.730003,97.870003,93.574509,18139500,743
2021-01-28,98.940002,100.529999,98.099998,98.150002,93.842209,8868200,744
2021-01-29,97.389999,97.790001,95.919998,96.809998,92.561012,8203000,745
2021-02-01,96.989998,99.620003,96.919998,98.580002,94.253342,7206300,746
2021-02-02,99.050003,102.480003,98.779999,101.650002,97.188599,6917700,747
2021-02-03,101.25,102.650002,100.809998,101.019997,96.586243,3934800,748
2021-02-04,101.360001,104.239998,101.110001,103.639999,99.091255,6926800,749
2021-02-05,105.089996,107.540001,104.779999,106.480003,101.80661,8072100,750
2021-02-08,106.419998,106.529999,105.339996,106.260002,101.596268,4836600,751
2021-02-09,106,106.830002,105.220001,106.220001,101.558029,4095200,752
2021-02-10,106.779999,106.900002,104.93,105.870003,101.223381,4293200,753
2021-02-11,106.120003,106.230003,105.029999,105.860001,101.213821,2976000,754
2021-02-12,105.739998,105.940002,104.720001,105.300003,100.678406,3169800,755
2021-02-16,104.879997,106.589996,104.699997,106.150002,101.491089,4928100,756
2021-02-17,105.110001,105.459999,104.150002,104.440002,100.281265,5733800,757
2021-02-18,103.779999,105.339996,103.410004,104.970001,100.790154,4098700,758
2021-02-19,104.75,105.279999,103.220001,103.370003,99.253868,4128900,759
2021-02-22,102.989998,102.989998,101.75,101.809998,97.755989,5211800,760
2021-02-23,103.339996,103.339996,99.93,101.370003,97.333511,8740300,761
2021-02-24,101.160004,104.510002,100.599998,104.379997,100.22364,7542700,762
2021-02-25,104,105.769997,103.110001,103.470001,99.349892,7534000,763
2021-02-26,104.150002,109.480003,103.68,108.029999,103.72831,15122900,764
2021-03-01,108.599998,110.470001,106.540001,106.870003,102.614487,7930300,765
2021-03-02,107.309998,108.25,105.82,107.199997,102.931351,5016800,766
2021-03-03,106.940002,107.959999,106.120003,106.220001,101.990395,5313400,767
2021-03-04,106.260002,107.169998,103.849998,104.889999,100.713341,7211800,768
2021-03-05,106.059998,106.059998,102.75,105.199997,101.010986,5559900,769
2021-03-08,104.800003,106.889999,104.230003,105.029999,100.847763,5119500,770
2021-03-09,106.279999,107.970001,105.830002,106.550003,102.307251,5510900,771
2021-03-10,107.220001,109.07,106.959999,107.779999,103.488251,6077000,772
2021-03-11,108.410004,108.57,107.260002,107.32,103.046585,4670700,773
2021-03-12,107.419998,107.989998,106.580002,107.809998,103.517059,3356000,774
2021-03-15,107.889999,108.949997,107.059998,108.900002,104.563683,7107300,775
2021-03-16,110.57,112.339996,109.889999,111.339996,106.906494,11376200,776
2021-03-17,111.309998,111.459999,108.93,110.459999,106.061546,10128400,777
2021-03-18,109.279999,110.269997,107.5,107.620003,103.334641,7813400,778
2021-03-19,108.349998,108.849998,105.830002,106.339996,102.105598,21452000,779
2021-03-22,106.400002,108.419998,106,107.57,103.286629,7605100,780
2021-03-23,107.739998,107.949997,105.669998,106.25,102.019188,5657800,781
2021-03-24,106.629997,107.279999,104.940002,104.970001,100.790154,5731300,782
2021-03-25,105.010002,107.699997,104.059998,107.349998,103.075394,8149000,783
2021-03-26,107.25,110,107.18,109.900002,105.523857,6167600,784
2021-03-29,109.010002,110.25,106.589996,109.129997,104.7845,5167100,785
2021-03-30,108.419998,110.449997,108.279999,110.269997,105.879112,4552900,786
2021-03-31,110.330002,111.620003,109.190002,109.269997,104.91893,6478400,787
2021-04-01,110.059998,110.059998,108.199997,109.379997,105.024544,5793000,788
2021-04-05,109.910004,111.349998,109.870003,111.019997,106.599236,6913100,789
